Year,County,N,H
2002,Carson City,14,9
2002,Churchill,975,274
2002,Clark,0,300
2002,Douglas,95,37
2002,Elko,9364,1370
2002,Esmeralda,237,135
2002,Eureka,5630,711
2002,Humboldt,27636,2739
2002,Lander,3812,725
2002,Lincoln,0,121
2002,Lyon,477,238
2002,Mineral,10,30
2002,Nye,559,472
2002,Pershing,7326,1027
2002,Storey,197,35
2002,Washoe,16126,2355
2002,White Pine,87,144
2003,Carson City,23,31
2003,Churchill,3325,564
2003,Clark,409,148
2003,Douglas,471,98
2003,Elko,18168,1967
2003,Esmeralda,559,108
2003,Eureka,5415,561
2003,Humboldt,42211,3043
2003,Lander,7514,904
2003,Lincoln,1247,195
2003,Lyon,1343,450
2003,Mineral,510,81
2003,Nye,759,302
2003,Pershing,7265,1116
2003,Storey,506,108
2003,Washoe,24991,2637
2003,White Pine,1022,178
2004,Carson City,0,0
2004,Churchill,2396,381
2004,Clark,489,241
2004,Douglas,136,53
2004,Elko,6917,1191
2004,Esmeralda,54,13
2004,Eureka,3472,414
2004,Humboldt,26251,2076
2004,Lander,4169,579
2004,Lincoln,2308,128
2004,Lyon,544,274
2004,Mineral,101,54
2004,Nye,1791,334
2004,Pershing,8927,1109
2004,Storey,54,64
2004,Washoe,18365,2118
2004,White Pine,107,105
2005,Carson City,516.1180896,120.4275542
2005,Churchill,5694.502922,868.7987841
2005,Clark,387.0885672,266.661013
2005,Douglas,223.6511722,137.6314906
2005,Elko,14167.44156,1952.646772
2005,Esmeralda,404.2925035,137.6314906
2005,Eureka,7036.409955,903.2066568
2005,Humboldt,39087.34332,3165.524283
2005,Lander,7294.468999,954.8184657
2005,Lincoln,1109.653893,275.2629811
2005,Lyon,6107.397393,972.022402
2005,Mineral,4060.128971,507.5161214
2005,Nye,2434.356989,705.3613891
2005,Pershing,12455.6499,1359.110969
2005,Storey,498.9141533,137.6314906
2005,Washoe,16679.21626,1978.452677
2005,White Pine,1978.452677,283.8649493
2006,Carson City,349.2825794,109.5788484
2006,Churchill,6910.31613,821.8413633
2006,Clark,102.7301704,102.7301704
2006,Douglas,362.9799355,136.9735606
2006,Elko,11676.99604,1335.492215
2006,Esmeralda,356.1312574,109.5788484
2006,Eureka,5204.995301,623.2297005
2006,Humboldt,28915.11863,2595.648972
2006,Lander,7739.006171,746.505905
2006,Lincoln,383.5259695,109.5788484
2006,Lyon,3992.77929,760.2032611
2006,Mineral,1314.946181,212.3090189
2006,Nye,2314.853173,499.953496
2006,Pershing,14176.76352,1280.702791
2006,Storey,986.209636,116.4275265
2006,Washoe,18779.07515,1705.320829
2006,White Pine,842.3873974,164.3682727
2007,Carson City,62.574934,102.3953465
2007,Churchill,1715,695
2007,Clark,597.3061882,542
2007,Douglas,176.3475413,96.70671619
2007,Elko,9625.162576,1740.720891
2007,Esmeralda,136.5271287,68.26356437
2007,Eureka,3458.687261,631.4379704
2007,Humboldt,21264.1003,3111.680809
2007,Lander,4420.065793,705.3901651
2007,Lincoln,398.2041255,352.6950826
2007,Lyon,1351,985
2007,Mineral,147.9043895,91.01808582
2007,Nye,563.174406,627
2007,Pershing,5034.437872,1160.480594
2007,Storey,386.8268647,221.8565842
2007,Washoe,11610.49457,3123.05807
2007,White Pine,204.7906931,193.4134324
2008,Carson City,186.0156915,94.35578554
2008,Churchill,1763.10525,563.4388337
2008,Clark,1323.676877,490.6500848
2008,Douglas,156.361016,97.05166513
2008,Elko,5550.816069,1202.362296
2008,Esmeralda,490.6500848,72.78874885
2008,Eureka,2507.168016,425.9489747
2008,Humboldt,18515.301,2375.069916
2008,Lander,2415.50811,555.3511949
2008,Lincoln,609.2687866,245.3250424
2008,Lyon,1633.70303,566.1347133
2008,Mineral,258.8044403,88.96402637
2008,Nye,1283.238683,412.4695768
2008,Pershing,4434.72192,1089.135353
2008,Storey,539.1759174,172.5362936
2008,Washoe,19534.34349,3191.921431
2008,White Pine,105.1393039,91.65990595
2009,Carson City,84.06833457,78.81406366
2009,Churchill,2285.607846,620.0039674
2009,Clark,2201.539511,785.5135011
2009,Douglas,131.3567728,70.93265729
2009,Elko,7602.930007,1468.568719
2009,Esmeralda,176.0180755,70.93265729
2009,Eureka,2879.340459,425.5959437
2009,Humboldt,25627.70637,3252.393694
2009,Lander,4072.059956,725.0893856
2009,Lincoln,1686.620962,425.5959437
2009,Lyon,1200.600903,499.1557365
2009,Mineral,105.0854182,73.55979275
2009,Nye,2051.792791,472.8843819
2009,Pershing,5474.950289,1190.092361
2009,Storey,312.6291192,168.1366691
2009,Washoe,20071.31488,3730.532346
2009,White Pine,617.376832,139.2381791
2010,Carson City,296.9025073,107.5733722
2010,Churchill,2200.951196,559.3815355
2010,Clark,1383.393567,701.3783869
2010,Douglas,318.4171818,122.6336443
