Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1895,1.71,1.04,0.28,-1.89,-0.63,-1.67,-1.6,-1.23,-0.48,-1.78,-0.3,-0.48
1896,0.42,-1.62,1.23,1.86,4.37,0.19,0.97,0.5,-0.73,-1.44,2.58,-1.09
1897,0.22,3.56,2.94,-1.07,-1.82,-1.46,-0.85,-0.64,-0.68,3.88,0.31,1.28
1898,0.19,-1.16,0.54,-1.8,3.28,-0.14,-0.56,-0.35,-1.36,-0.82,1.87,-0.84
1899,0.89,1.05,2.7,-1.44,0.26,0.27,-0.23,1.04,-1.74,1.29,-1.64,-0.06
1900,-2.14,-1.38,-3.88,2.17,-1.74,-3.27,-2.41,-1.71,0.11,0.36,0.39,-2.16
1901,-0.61,3.45,-0.32,-1.01,-0.93,-1.36,-1.43,1.96,-0.65,0.93,-2.53,0.02
1902,-1.97,-0.64,1.11,0.2,-1.86,-2.5,-1.11,-1.36,-1.1,-1.77,1.32,-0.52
1903,2.61,0.25,1.66,0.13,0.43,-0.12,-1.36,-1.29,-0.83,-1.45,0.3,-1.64
1904,-0.57,2.54,3.54,-0.08,0.21,-0.98,0.03,0.9,0.2,1.28,-3.38,-1.32
1905,-2.3,-1.1,0.37,-0.75,1.21,-0.98,-1.39,-1.03,0.73,-1.39,0.84,-0.41
1906,1.48,0.73,4.34,1.39,2.86,2.28,2.81,1.93,0.01,-1.68,1.08,1.38
1907,3.12,1.19,5.09,-0.34,0.44,4.01,2.69,1.19,0.12,-0.41,-1.56,2.51
1908,-0.2,0.01,-0.75,-2.6,2.11,1.77,1.63,0.41,1.51,2.34,-0.83,-1.64
1909,3.7,2.2,0.34,-1.29,-0.8,-1.68,-1.06,1.27,1.54,-1.01,5.11,2.08
1910,0.92,1.18,-2.98,-3.11,-2.57,-3.41,-1.73,-1.55,0.82,-0.8,-1.02,0.39
1911,3.63,0.94,-0.59,0.4,0.07,1.68,0.97,-1.52,0.56,0.24,0.11,-0.99
1912,-0.67,-1.27,1.59,2.48,-0.25,0.01,1.26,0.64,-0.19,5.13,0.25,-0.71
1913,-0.51,-0.8,-0.37,-0.55,-0.9,3.82,3.75,1.14,-0.38,-0.17,1.58,1.12
1914,3.35,0.78,-2.23,0.99,-0.86,2.05,2.02,-0.8,0.09,0.11,-3.07,-2.18
1915,-2.56,-0.7,-3.06,-0.5,1.67,-1.61,-1.22,-1.93,0.45,-2.83,-0.96,-0.4
1916,4.23,1.68,0.16,-2.34,-0.85,-1.47,-0.53,-0.44,-1.12,3.85,-0.35,0.76
1917,-0.5,0.94,0.71,1.3,5.15,0.34,1.74,-0.27,-0.3,-2.92,-1.11,-3.01
1918,-0.38,-0.51,-0.67,-1.48,-0.57,-0.92,-1.14,-0.79,2.12,0.81,-0.22,-0.97
1919,-2.92,1.48,0.33,-1.79,-2.79,-3.7,-2.67,-1.73,1.38,1.56,0.29,-0.01
1920,-1.88,-1.3,1.86,2.92,-0.65,-0.46,-0.66,0.82,0.45,3.65,1.43,1.51
