Year,Kper100F,Period
1980,98,1980-1981
1981,107,1981-1982
1982,63,1982-1983
1983,92,1983-1984
1984,88,1984-1985
1985,39,1985-1986
1986,56,1986-1987
1987,69,1987-1988
1988,109,1988-1989
1989,76,1989-1990
1990,82,1990-1991
1991,76,1991-1992
1992,110,1992-1993
1993,48,1993-1994
1994,43,1994-1995
1995,65,1995-1996
1996,85,1996-1997
1997,35,1997-1998
1998,79,1998-1999
1999,89,1999-2000
2000,27,2000-2001
2001,32,2001-2002
2002,24,2002-2003
2003,85,2003-2004
2004,84,2004-2005
2005,90,2005-2006
2006,90,2006-2007
2007,20,2007-2008
2008,17,2008-2009
2009,54,2009-2010
2010,75,2010-2011
2011,62,2011-2012
2012,41,2012-2013
2013,26,2013-2014
2014,66,2014-2015
2015,94,2015-2016
2016,94,2016-2017
2017,60,2017-2018
2018,27,2018-2019
2019,17,2019-2020
2020,72,2020-2021
2021,19,2021-2022
