M-Y,Dollars per Gallon
2/1/2022,2.874
1/1/2022,2.686
12/1/2021,2.576
11/1/2021,2.81
10/1/2021,2.772
9/1/2021,2.71
8/1/2021,2.85
7/1/2021,2.783
6/1/2021,2.619
5/1/2021,2.54
4/1/2021,2.371
3/1/2021,2.241
2/1/2021,1.898
1/1/2021,1.707
12/1/2020,1.515
11/1/2020,1.509
10/1/2020,1.508
9/1/2020,1.568
8/1/2020,1.602
7/1/2020,1.564
6/1/2020,1.508
5/1/2020,1.219
4/1/2020,0.807
3/1/2020,1.469
2/1/2020,1.906
1/1/2020,1.915
12/1/2019,1.912
11/1/2019,2.215
10/1/2019,2.396
9/1/2019,2.223
8/1/2019,2.07
7/1/2019,2.211
6/1/2019,2.259
5/1/2019,2.494
4/1/2019,2.421
3/1/2019,2.001
2/1/2019,1.889
1/1/2019,1.838
12/1/2018,1.919
11/1/2018,2.128
10/1/2018,2.349
9/1/2018,2.289
8/1/2018,2.224
7/1/2018,2.253
6/1/2018,2.321
5/1/2018,2.407
4/1/2018,2.29
3/1/2018,2.055
2/1/2018,1.919
1/1/2018,1.854
12/1/2017,1.741
11/1/2017,1.825
10/1/2017,1.816
9/1/2017,1.899
8/1/2017,1.796
7/1/2017,1.746
6/1/2017,1.774
5/1/2017,1.85
4/1/2017,1.844
3/1/2017,1.81
2/1/2017,1.715
1/1/2017,1.629
12/1/2016,1.533
11/1/2016,1.517
10/1/2016,1.66
9/1/2016,1.638
8/1/2016,1.529
7/1/2016,1.619
6/1/2016,1.693
5/1/2016,1.643
4/1/2016,1.618
3/1/2016,1.475
2/1/2016,1.154
1/1/2016,1.481
12/1/2015,1.631
11/1/2015,1.678
10/1/2015,1.831
9/1/2015,2.001
8/1/2015,2.23
7/1/2015,2.387
6/1/2015,2.363
5/1/2015,2.467
4/1/2015,2.075
3/1/2015,2.034
2/1/2015,1.753
1/1/2015,1.423
12/1/2014,1.702
11/1/2014,2.211
10/1/2014,2.442
9/1/2014,2.765
8/1/2014,2.95
7/1/2014,3.044
6/1/2014,3.104
5/1/2014,3.036
4/1/2014,2.994
3/1/2014,2.836
2/1/2014,2.673
1/1/2014,2.583
12/1/2013,2.566
11/1/2013,2.6
10/1/2013,2.726
9/1/2013,2.822
8/1/2013,2.88
7/1/2013,2.986
6/1/2013,2.942
5/1/2013,2.87
4/1/2013,2.95
3/1/2013,3.094
2/1/2013,2.974
1/1/2013,2.486
12/1/2012,2.584
11/1/2012,2.875
10/1/2012,3.153
9/1/2012,3.14
8/1/2012,2.983
7/1/2012,2.773
6/1/2012,2.93
5/1/2012,3.24
4/1/2012,3.263
3/1/2012,3.229
2/1/2012,2.946
1/1/2012,2.784
12/1/2011,2.719
11/1/2011,2.855
10/1/2011,2.964
9/1/2011,3.021
8/1/2011,2.885
7/1/2011,2.9
6/1/2011,2.992
5/1/2011,3.185
4/1/2011,3.252
3/1/2011,3.044
2/1/2011,2.652
1/1/2011,2.453
12/1/2010,2.438
11/1/2010,2.316
10/1/2010,2.248
9/1/2010,2.144
8/1/2010,2.252
7/1/2010,2.279
6/1/2010,2.257
5/1/2010,2.263
4/1/2010,2.333
3/1/2010,2.233
2/1/2010,2.122
1/1/2010,2.156
12/1/2009,2.094
11/1/2009,2.063
10/1/2009,2.015
9/1/2009,2.117
8/1/2009,2.102
7/1/2009,1.973
6/1/2009,2.06
5/1/2009,1.71
4/1/2009,1.524
3/1/2009,1.491
2/1/2009,1.548
1/1/2009,1.329
12/1/2008,1.162
11/1/2008,1.531
10/1/2008,2.454
9/1/2008,2.972
8/1/2008,3.165
7/1/2008,3.474
6/1/2008,3.552
5/1/2008,3.131
4/1/2008,2.912
3/1/2008,2.7
