Year,Period,labor force participation rate,employment-population ratio,labor force,employment,unemployment,unemployment rate
1976,Jan,71.3,64.7,321579,291933,29646,9.2
1976,Feb,70.8,64.2,321323,291651,29672,9.2
1976,Mar,70.5,64,321400,291820,29580,9.2
1976,Apr,70.4,64.1,322625,293430,29195,9
1976,May,70.5,64.3,324425,295681,28744,8.9
1976,Jun,70.7,64.5,326591,298204,28387,8.7
1976,Jul,70.8,64.8,328735,300492,28243,8.6
1976,Aug,71,64.9,330696,302339,28357,8.6
1976,Sep,70.9,64.8,332594,303985,28609,8.6
1976,Oct,71,64.9,334508,305580,28928,8.6
1976,Nov,71,64.8,336491,307303,29188,8.7
1976,Dec,71.1,65,338492,309309,29183,8.6
1977,Jan,71.2,65.2,340562,311692,28870,8.5
1977,Feb,71.2,65.4,342693,314431,28262,8.2
1977,Mar,71.4,65.7,344696,317304,27392,7.9
1977,Apr,71.3,65.9,346504,320144,26360,7.6
1977,May,71.3,66.2,348097,322831,25266,7.3
1977,Jun,71.2,66.3,349554,325371,24183,6.9
1977,Jul,71.2,66.5,351062,327915,23147,6.6
1977,Aug,71.1,66.7,352740,330606,22134,6.3
1977,Sep,71.1,66.8,354609,333479,21130,6
1977,Oct,71,67,356553,336441,20112,5.6
1977,Nov,71,67.2,358473,339372,19101,5.3
1977,Dec,70.9,67.4,360338,342151,18187,5
1978,Jan,70.9,67.5,362135,344783,17352,4.8
1978,Feb,70.7,67.4,363893,347265,16628,4.6
1978,Mar,70.6,67.5,365735,349657,16078,4.4
1978,Apr,70.6,67.6,367713,351989,15724,4.3
1978,May,70.6,67.6,369854,354273,15581,4.2
1978,Jun,70.6,67.6,372141,356515,15626,4.2
1978,Jul,70.7,67.7,374448,358612,15836,4.2
1978,Aug,70.7,67.6,376752,360563,16189,4.3
1978,Sep,70.6,67.5,379085,362483,16602,4.4
1978,Oct,70.7,67.5,381532,364517,17015,4.5
1978,Nov,70.7,67.5,384106,366695,17411,4.5
1978,Dec,70.8,67.6,386633,368864,17769,4.6
1979,Jan,70.7,67.4,389030,370904,18126,4.7
1979,Feb,70.8,67.4,391350,372844,18506,4.7
1979,Mar,70.8,67.4,393641,374748,18893,4.8
1979,Apr,70.8,67.4,395934,376659,19275,4.9
1979,May,70.7,67.3,398307,378688,19619,4.9
1979,Jun,70.8,67.3,400766,380828,19938,5
1979,Jul,70.9,67.3,403309,383155,20154,5
1979,Aug,71,67.4,405881,385669,20212,5
1979,Sep,70.9,67.4,408379,388244,20135,4.9
1979,Oct,70.9,67.5,410721,390754,19967,4.9
1979,Nov,70.8,67.4,412953,393114,19839,4.8
1979,Dec,70.9,67.4,415183,395240,19943,4.8
1980,Jan,70.9,67.4,417418,396980,20438,4.9
1980,Feb,70.8,67.2,419692,398289,21403,5.1
1980,Mar,70.8,67,422129,399267,22862,5.4
1980,Apr,70.8,66.7,424777,400108,24669,5.8
1980,May,71,66.6,427585,401031,26554,6.2
1980,Jun,71.1,66.5,430425,402242,28183,6.5
1980,Jul,71.4,66.5,433130,403778,29352,6.8
1980,Aug,71.5,66.6,435650,405566,30084,6.9
1980,Sep,71.6,66.6,438029,407499,30530,7
1980,Oct,71.7,66.7,440370,409469,30901,7
1980,Nov,71.9,66.8,442811,411522,31289,7.1
1980,Dec,72,66.9,445577,413867,31710,7.1
1981,Jan,72.2,67.1,448671,416536,32135,7.2
1981,Feb,72.5,67.3,451788,419338,32450,7.2
1981,Mar,72.6,67.4,454632,422111,32521,7.2
1981,Apr,72.8,67.6,457010,424674,32336,7.1
1981,May,72.8,67.8,458890,426828,32062,7
1981,Jun,72.8,67.7,460528,428591,31937,6.9
1981,Jul,72.8,67.7,462239,430012,32227,7
1981,Aug,72.9,67.7,464177,431174,33003,7.1
1981,Sep,73,67.6,466393,432206,34187,7.3
1981,Oct,73.1,67.6,468849,433194,35655,7.6
1981,Nov,73.3,67.5,471336,433994,37342,7.9
1981,Dec,73.4,67.4,473692,434523,39169,8.3
1982,Jan,73.5,67.2,475856,434878,40978,8.6
1982,Feb,73.5,66.9,477822,435130,42692,8.9
1982,Mar,73.5,66.8,479524,435251,44273,9.2
1982,Apr,73.5,66.6,481007,435295,45712,9.5
1982,May,73.5,66.4,482266,435282,46984,9.7
1982,Jun,73.4,66.1,483262,435135,48127,10
1982,Jul,73.3,65.9,484072,434829,49243,10.2
1982,Aug,73.3,65.7,484832,434393,50439,10.4
1982,Sep,73.4,65.5,485612,433829,51783,10.7
1982,Oct,73.4,65.3,486353,433166,53187,10.9
1982,Nov,73.3,65.1,486913,432567,54346,11.2
1982,Dec,73.2,65,487080,432105,54975,11.3
1983,Jan,73.2,64.9,486892,431871,55021,11.3
1983,Feb,73.1,64.9,486556,432089,54467,11.2
1983,Mar,72.9,64.9,486263,432877,53386,11
1983,Apr,72.8,65,486222,434230,51992,10.7
1983,May,72.7,65.2,486538,436044,50494,10.4
1983,Jun,72.7,65.4,487148,438131,49017,10.1
1983,Jul,72.7,65.6,487858,440312,47546,9.7
1983,Aug,72.6,65.7,488433,442418,46015,9.4
1983,Sep,72.5,65.9,488768,444370,44398,9.1
1983,Oct,72.3,66,488957,446217,42740,8.7
1983,Nov,72.2,66.1,489198,448017,41181,8.4
1983,Dec,72.1,66.3,489707,449885,39822,8.1
1984,Jan,72,66.4,490589,451924,38665,7.9
1984,Feb,72,66.5,491906,454109,37797,7.7
1984,Mar,72.2,66.7,493658,456320,37338,7.6
1984,Apr,72.3,66.8,495665,458380,37285,7.5
1984,May,72.4,66.9,497792,460222,37570,7.5
1984,Jun,72.5,67,499822,461807,38015,7.6
1984,Jul,72.6,67,501602,463165,38437,7.7
1984,Aug,72.5,66.9,503169,464391,38778,7.7
1984,Sep,72.4,66.8,504590,465616,38974,7.7
1984,Oct,72.4,66.8,505953,466983,38970,7.7
1984,Nov,72.3,66.8,507454,468587,38867,7.7
1984,Dec,72.2,66.7,509192,470370,38822,7.6
1985,Jan,72.2,66.7,511049,472101,38948,7.6
1985,Feb,72.1,66.6,512792,473542,39250,7.7
1985,Mar,72,66.5,514146,474582,39564,7.7
1985,Apr,71.9,66.4,515042,475330,39712,7.7
1985,May,71.7,66.2,515586,475943,39643,7.7
1985,Jun,71.5,66,516039,476651,39388,7.6
