Site,NDOWREGION,PLANNINGUNIT,BSU,Year,AHY Male,AHY Female,HY Male,HY Female,Successful Female,Unsuccessful Female
Desert PMU,Eastern,Elko Stewardship,Owyhee,2004,0,3,0,0,1,2
East Valley PMU,Eastern,Elko Stewardship,East High Desert,2004,0,0,0,0,0,0
Battle Mtn. PMU,Eastern,South Central,Northwest Interior,2004,0,0,0,0,0,0
Fish Creek PMU,Eastern,South Central,Northwest Interior,2004,0,0,0,0,0,0
Spring/Snake PMU,Eastern,White Pine,Southeastern Nevada,2004,0,0,0,0,0,0
Pine Forest PMU,Western,North Central,Black Rock,2005,0,0,0,0,0,0
Black Rock PMU,Western,North Central,Black Rock,2005,0,0,0,0,0,0
Desert PMU,Eastern,Elko Stewardship,Owyhee,2005,0,5,4,3,2,3
East Valley PMU,Eastern,Elko Stewardship,East High Desert,2005,0,0,0,0,0,0
Battle Mtn. PMU,Eastern,South Central,Northwest Interior,2005,0,0,0,0,0,0
Fish Creek PMU,Eastern,South Central,Northwest Interior,2005,0,0,0,0,0,0
Spring/Snake PMU,Eastern,White Pine,Southeastern Nevada,2005,0,0,0,0,0,0
Steptoe/Cave PMU,Eastern,White Pine,Southeastern Nevada,2005,0,0,0,0,0,0
Vya PMU,Western,Washoe-Lassen-Modoc,Northwest Great Basin (NV),2006,0,28,2,5,8,20
Desert PMU,Eastern,Elko Stewardship,Owyhee,2006,0,0,0,0,0,0
Spring/Snake PMU,Eastern,White Pine,Southeastern Nevada,2006,0,0,0,0,0,0
Steptoe/Cave PMU,Eastern,White Pine,Southeastern Nevada,2006,0,0,2,0,0,0
Buffalo/Skedaddle,Western,Washoe-Lassen-Modoc,Lassen/South Washoe,2007,0,8,5,3,2,6
Vya PMU,Western,Washoe-Lassen-Modoc,Northwest Great Basin (NV),2007,0,5,5,5,2,3
Vya PMU,Western,Washoe-Lassen-Modoc,Northwest Great Basin (NV),2008,0,1,2,9,0,1
Black Rock PMU,Western,North Central,Black Rock,2008,0,0,1,1,0,0
Desert PMU,Eastern,Elko Stewardship,Owyhee,2008,0,0,0,1,0,0
Spring/Snake PMU,Eastern,White Pine,Southeastern Nevada,2008,0,1,1,0,0,0
Reese River PMU,Eastern,South Central,Smith/Reese,2008,0,8,6,6,7,1
Pine Forest PMU,Western,North Central,Black Rock,2009,0,9,11,15,2,7
Desert PMU,Eastern,Elko Stewardship,Owyhee,2009,0,0,0,0,0,0
O'Neil PMU,Eastern,Elko Stewardship,Central Elko,2010,0,14,6,11,8,6
Snake PMU,Eastern,Elko Stewardship,Central Elko,2010,0,6,4,6,3,3
Steptoe/Cave PMU,Eastern,White Pine,Southeastern Nevada,2011,0,1,3,2,1,0
Vya PMU,Western,Washoe-Lassen-Modoc,Northwest Great Basin (NV),2012,0,0,0,0,0,0
Island PMU,Eastern,Elko Stewardship,Central Elko,2012,0,0,0,0,0,0
Sheldon NWR,Western,North Central,Northwest Great Basin (NV),2013,0,7,3,5,4,3
Buffalo/Skedaddle,Western,Washoe-Lassen-Modoc,Lassen/South Washoe,2013,0,4,4,8,0,4
Massacre PMU,Western,Washoe-Lassen-Modoc,Northwest Great Basin (NV),2013,0,10,6,14,3,6
Vya PMU,Western,Washoe-Lassen-Modoc,Northwest Great Basin (NV),2013,0,1,4,4,0,1
Black Rock PMU,Western,North Central,Black Rock,2013,0,0,0,0,0,0
Desert PMU,Eastern,Elko Stewardship,Owyhee,2013,0,0,0,0,0,0
Island PMU,Eastern,Elko Stewardship,Central Elko,2013,0,2,1,0,0,2
Shoshone PMU,Eastern,South Central,Central Great Basin,2013,0,1,2,3,0,1
Schell/Antelope PMU,Eastern,White Pine,East High Desert,2013,0,0,2,2,0,0
Other Washoe,Western,Washoe-Lassen-Modoc,Northwest Great Basin (NV),2014,0,0,0,0,0,0
Desert PMU,Eastern,Elko Stewardship,Owyhee,2014,0,0,1,1,0,0
Island PMU,Eastern,Elko Stewardship,Central Elko,2014,0,5,0,1,1,4
Other Central NV,Eastern,South Central,Central Great Basin,2014,0,0,0,0,0,0
Other Washoe,Western,Washoe-Lassen-Modoc,Northwest Great Basin (NV),2015,0,11,5,9,5,6
Black Rock PMU,Western,North Central,Black Rock,2015,0,0,0,0,0,0
Steptoe/Cave PMU,Eastern,White Pine,Southeastern Nevada,2015,0,0,1,2,0,0
Ruby Valley PMU,Eastern,Elko Stewardship,Ruby,2016,0,3,2,1,2,1
Diamond PMU,Eastern,South Central,Central Great Basin,2016,0,1,1,2,1,0
Steptoe/Cave PMU,Eastern,White Pine,Southeastern Nevada,2016,0,0,0,0,0,0
Vya PMU,Western,Washoe-Lassen-Modoc,Northwest Great Basin (NV),2017,0,0,0,0,0,0
Gollaher PMU,Eastern,Elko Stewardship,Northeast Elko,2017,0,0,0,0,0,0
