Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
1895,2.43,0.92,-0.64,-1.21,0.43,-1.5,-1.03,-0.57,0.46,-2.24,-0.92,-0.27
1896,1.31,-2.06,1.45,2.97,4.33,0.64,1.21,0.88,0.05,-1.27,2.36,-1.05
1897,0.02,3.66,2.78,-0.86,-0.84,-0.24,-0.22,-0.76,-0.46,2.14,-0.19,0.8
1898,-0.48,-1.7,-0.25,-2.03,1.76,-1.2,-1.1,-0.75,-0.6,-0.79,1.21,-1.12
1899,0.45,0.39,2.86,-0.85,0.56,0.21,-0.2,1.26,-1.42,1.79,-1.04,0.68
1900,-1.66,-0.96,-2.51,1.26,-0.67,-1.92,-1.41,-0.79,0.02,1.09,0.49,-1.96
1901,0.17,4.06,-0.98,-0.18,-0.23,-1.1,-0.97,1.94,0.85,0.95,-1.78,-0.4
1902,-2.07,0.71,1.1,0.23,-1.18,-2.19,-0.03,-0.34,-0.91,-1.42,1.2,-0.57
1903,2.21,-0.19,1.34,-0.1,-0.85,-0.07,-0.91,-0.6,-0.96,-1.38,1.36,-1.46
1904,-1.03,3.94,3.86,0.38,-0.85,-1.55,0.26,0.69,1.53,2.1,-3.02,-1.09
1905,-2.01,-1.34,0.05,-1.46,0.24,-1.08,-1.39,-1.1,-0.6,-1.54,0.06,-0.93
1906,2.29,0.16,2.59,0.35,2.63,2.09,1.86,-0.43,-0.12,-1.95,0.23,1.83
1907,1.73,0.18,5.76,-0.31,0.2,3.58,1.82,0.88,0.61,0.25,-1.74,2.05
1908,-0.61,-0.94,-1.59,-1.99,1.09,0.76,0.44,-0.43,1.83,1.64,-1.48,-2.07
1909,3.42,1.43,-0.03,-1.74,-1.3,-1.17,-1.1,-0.81,1.29,0.25,3.66,2.42
1910,0.93,1.57,-2.6,-2.43,-2.34,-2.44,-0.53,-1.2,1.09,-0.59,0.2,0.83
1911,4.32,1.1,0.02,0.89,0.33,1.66,1.15,-0.85,-0.23,-0.41,-0.68,-1.38
1912,-1.22,-1.98,0.46,1.93,0.1,0.44,0.81,0.53,0.79,1.8,-0.54,-1.62
1913,-0.68,-1.81,-0.81,-0.18,-0.32,3.63,5.88,2,-0.44,-0.93,1.85,2.35
1914,5.22,0.51,-2.88,0.89,-0.21,1.52,0.75,-0.92,-0.28,0.32,-2.89,-1.88
1915,-2.17,0.12,-2.25,0.36,1.33,-1.68,-0.2,-1,-0.19,-2.39,-1.02,-0.38
1916,5.18,0.61,-1.2,-1.68,0.23,-0.66,0.22,-0.03,-0.22,2.69,-0.65,-0.79
