State,Section,Species,Year,Animals,Hunters,H.Days
NV,Western,SAGE_GROUSE,1976,1654,1382,1836
NV,Western,SAGE_GROUSE,1977,1399,752,1354
NV,Western,SAGE_GROUSE,1978,4546,2031,3691
NV,Western,SAGE_GROUSE,1979,7690,3065,5783
NV,Western,SAGE_GROUSE,1980,2260,1510,2497
NV,Western,SAGE_GROUSE,1981,2869,1939,2689
NV,Western,SAGE_GROUSE,1982,1642,760,1646
NV,Western,SAGE_GROUSE,1983,3431,1894,3055
NV,Western,SAGE_GROUSE,1984,4203,2312,3951
NV,Western,SAGE_GROUSE,1985,,,
NV,Western,SAGE_GROUSE,1986,1609,1011,1518
NV,Western,SAGE_GROUSE,1987,3413,1570,2685
NV,Western,SAGE_GROUSE,1988,3410,1620,3370
NV,Western,SAGE_GROUSE,1989,3566,1711,3123
NV,Western,SAGE_GROUSE,1990,3409,1540,3511
NV,Western,SAGE_GROUSE,1991,4292,1940,3867
NV,Western,SAGE_GROUSE,1992,2858,1541,4009
NV,Western,SAGE_GROUSE,1993,1914,929,1836
NV,Western,SAGE_GROUSE,1994,2596,1213,2773
NV,Western,SAGE_GROUSE,1995,1702,1090,2009
NV,Western,SAGE_GROUSE,1996,2273,1264,2444
NV,Western,SAGE_GROUSE,1997,1443,1018,1978
NV,Western,SAGE_GROUSE,1998,971,741,1507
NV,Western,SAGE_GROUSE,1999,1951,887,1791
NV,Western,SAGE_GROUSE,2000,1963,829,1597
NV,Western,SAGE_GROUSE,2001,1201,652,1218
NV,Western,SAGE_GROUSE,2002,2009,1020,2231
NV,Western,SAGE_GROUSE,2003,2802,1233,2186
NV,Western,SAGE_GROUSE,2004,2615,946,2072
NV,Western,SAGE_GROUSE,2005,1386,603,1438
NV,Western,SAGE_GROUSE,2006,1643,837,1751
NV,Western,SAGE_GROUSE,2007,1835,1466,3143
NV,Western,SAGE_GROUSE,2008,1974,1366,2651
NV,Western,SAGE_GROUSE,2009,4317,2023,4310
NV,Western,SAGE_GROUSE,2010,3071,1704,3336
NV,Western,SAGE_GROUSE,2011,2680,937,2740
NV,Western,SAGE_GROUSE,2012,860,589,1238
NV,Western,SAGE_GROUSE,2013,453,410,834
NV,Western,SAGE_GROUSE,2014,642,464,910
NV,Western,SAGE_GROUSE,2015,670,291,642
NV,Western,SAGE_GROUSE,2016,910,364,732
NV,Western,SAGE_GROUSE,2017,812,500,938
NV,Western,SOOTY_GROUSE,1976,455,367,863
NV,Western,SOOTY_GROUSE,1977,971,496,1138
NV,Western,SOOTY_GROUSE,1978,255,294,558
NV,Western,SOOTY_GROUSE,1979,426,485,868
NV,Western,SOOTY_GROUSE,1980,222,393,620
NV,Western,SOOTY_GROUSE,1981,297,269,574
NV,Western,SOOTY_GROUSE,1982,126,328,479
NV,Western,SOOTY_GROUSE,1983,192,220,279
NV,Western,SOOTY_GROUSE,1984,258,278,561
NV,Western,SOOTY_GROUSE,1985,306,603,1082
NV,Western,SOOTY_GROUSE,1986,362,371,597
NV,Western,SOOTY_GROUSE,1987,345,412,885
NV,Western,SOOTY_GROUSE,1988,503,425,1000
NV,Western,SOOTY_GROUSE,1989,436,413,1316
NV,Western,SOOTY_GROUSE,1990,491,371,649
NV,Western,SOOTY_GROUSE,1991,219,456,948
NV,Western,SOOTY_GROUSE,1992,307,293,716
NV,Western,SOOTY_GROUSE,1993,455,353,636
NV,Western,SOOTY_GROUSE,1994,208,281,432
NV,Western,SOOTY_GROUSE,1995,429,395,857
NV,Western,SOOTY_GROUSE,1996,512,290,595
NV,Western,SOOTY_GROUSE,1997,207,365,541
NV,Western,SOOTY_GROUSE,1998,540,340,841
NV,Western,SOOTY_GROUSE,1999,376,346,965
NV,Western,SOOTY_GROUSE,2000,262,199,335
NV,Western,SOOTY_GROUSE,2001,93,149,316
NV,Western,SOOTY_GROUSE,2002,244,213,744
NV,Western,SOOTY_GROUSE,2003,145,178,348
NV,Western,SOOTY_GROUSE,2004,420,195,516
NV,Western,SOOTY_GROUSE,2005,253,270,524
NV,Western,SOOTY_GROUSE,2006,422,607,1477
NV,Western,SOOTY_GROUSE,2007,540,712,1484
NV,Western,SOOTY_GROUSE,2008,540,735,1880
NV,Western,SOOTY_GROUSE,2009,588,623,1359
NV,Western,SOOTY_GROUSE,2010,436,532,1169
NV,Western,SOOTY_GROUSE,2011,383,360,921
NV,Western,SOOTY_GROUSE,2012,210,367,708
NV,Western,SOOTY_GROUSE,2013,180,277,530
NV,Western,SOOTY_GROUSE,2014,313,283,694
NV,Western,SOOTY_GROUSE,2015,123,175,420
NV,Western,SOOTY_GROUSE,2016,170,139,339
NV,Western,SOOTY_GROUSE,2017,320,241,543
NV,Western,RUFFED_GROUSE,1976,,,
NV,Western,RUFFED_GROUSE,1977,,,
NV,Western,RUFFED_GROUSE,1978,,,
NV,Western,RUFFED_GROUSE,1979,,,
NV,Western,RUFFED_GROUSE,1980,,,
NV,Western,RUFFED_GROUSE,1981,,,
NV,Western,RUFFED_GROUSE,1982,,,
NV,Western,RUFFED_GROUSE,1983,,,
NV,Western,RUFFED_GROUSE,1984,,,
NV,Western,RUFFED_GROUSE,1985,,,
NV,Western,RUFFED_GROUSE,1986,,,
NV,Western,RUFFED_GROUSE,1987,,,
NV,Western,RUFFED_GROUSE,1988,,,
NV,Western,RUFFED_GROUSE,1989,,,
NV,Western,RUFFED_GROUSE,1990,,,
NV,Western,RUFFED_GROUSE,1991,,,
NV,Western,RUFFED_GROUSE,1992,,,
NV,Western,RUFFED_GROUSE,1993,,,
NV,Western,RUFFED_GROUSE,1994,,,
NV,Western,RUFFED_GROUSE,1995,,,
NV,Western,RUFFED_GROUSE,1996,,,
NV,Western,RUFFED_GROUSE,1997,,,
NV,Western,RUFFED_GROUSE,1998,,,
NV,Western,RUFFED_GROUSE,1999,,,
NV,Western,RUFFED_GROUSE,2000,,,
NV,Western,RUFFED_GROUSE,2001,,,
NV,Western,RUFFED_GROUSE,2002,,,
NV,Western,RUFFED_GROUSE,2003,,,
NV,Western,RUFFED_GROUSE,2004,,,
NV,Western,RUFFED_GROUSE,2005,9,19,57
NV,Western,RUFFED_GROUSE,2006,3,9,13
NV,Western,RUFFED_GROUSE,2007,38,200,392
NV,Western,RUFFED_GROUSE,2008,41,64,99
NV,Western,RUFFED_GROUSE,2009,110,110,204
NV,Western,RUFFED_GROUSE,2010,38,32,110
NV,Western,RUFFED_GROUSE,2011,30,43,81
NV,Western,RUFFED_GROUSE,2012,22,44,92
NV,Western,RUFFED_GROUSE,2013,22,18,27
NV,Western,RUFFED_GROUSE,2014,123,53,94
NV,Western,RUFFED_GROUSE,2015,51,28,46
NV,Western,RUFFED_GROUSE,2016,15,15,15
NV,Western,RUFFED_GROUSE,2017,8,16,20
NV,Western,CHUKAR,1976,36039,7517,25059
NV,Western,CHUKAR,1977,40135,6437,21883
NV,Western,CHUKAR,1978,79229,10305,39697
NV,Western,CHUKAR,1979,105335,11753,45605
NV,Western,CHUKAR,1980,156481,14304,58612
NV,Western,CHUKAR,1981,48144,11804,33875
NV,Western,CHUKAR,1982,38083,10879,31028
NV,Western,CHUKAR,1983,56757,11811,32135
NV,Western,CHUKAR,1984,43870,10435,30125
NV,Western,CHUKAR,1985,11275,4669,14587
NV,Western,CHUKAR,1986,26401,6048,19034
NV,Western,CHUKAR,1987,42686,6334,22661
NV,Western,CHUKAR,1988,73963,7442,30478
NV,Western,CHUKAR,1989,52710,8562,31699
NV,Western,CHUKAR,1990,47421,7323,24712
NV,Western,CHUKAR,1991,33247,7208,25986
NV,Western,CHUKAR,1992,24601,4977,19178
NV,Western,CHUKAR,1993,13299,4204,16494
NV,Western,CHUKAR,1994,21251,4286,14485
