ST,Year,Paid Licenses Holders,Resident Licenses,Non-Resident Licenses,Total Licenses,Gross Cost
AK,1970,61993.00,55455.00,25121.00,80576.00,883909.00
AK,1971,68664.00,57755.00,23480.00,81235.00,855309.00
AK,1972,64056.00,58747.00,23535.00,82282.00,869514.00
AK,1973,68268.00,66872.00,8728.00,75600.00,1323871.00
AK,1974,68136.00,65697.00,16671.00,82368.00,1295744.00
AK,1975,67406.00,64720.00,7103.00,71823.00,537292.00
AK,1976,71047.00,70598.00,7138.00,77736.00,1298635.00
AK,1977,67878.00,71489.00,12114.00,83603.00,2140550.00
AK,1978,69124.00,73112.00,11821.00,84933.00,2131103.00
AK,1979,69397.00,74992.00,14558.00,89550.00,2485640.00
AK,1980,72192.00,112593.00,10997.00,123590.00,2655874.00
AK,1981,75928.00,121934.00,19453.00,141387.00,2754358.00
AK,1982,84383.00,129407.00,19068.00,148475.00,2813203.00
AK,1983,90094.00,138878.00,16343.00,155221.00,3366258.00
AK,1984,92481.00,153891.00,18603.00,172494.00,3767195.00
AK,1985,90957.00,156296.00,23837.00,180133.00,4104645.00
AK,1986,103322.00,185202.00,26471.00,211673.00,4279637.00
AK,1987,84717.00,170637.00,30004.00,200641.00,4856795.00
AK,1988,85232.00,167798.00,54338.00,222136.00,5325640.00
AK,1989,83291.00,192218.00,36714.00,228932.00,5270638.00
AK,1990,83505.00,139830.00,29585.00,169415.00,5196083.00
AK,1991,94750.00,174433.00,38496.00,212929.00,6346690.00
AK,1992,93418.00,164602.00,37013.00,201615.00,5611693.00
AK,1993,90276.00,166900.00,34423.00,201323.00,7037310.00
AK,1994,89956.00,168702.00,36998.00,205700.00,7503781.00
AK,1995,90669.00,185871.00,31106.00,216977.00,7851108.00
AK,1996,95260.00,193471.00,30409.00,223880.00,8123960.00
AK,1997,101306.00,189921.00,32248.00,222169.00,9053782.00
AK,1998,95364.00,189278.00,35809.00,225087.00,9043343.00
AK,1999,95745.00,180825.00,37550.00,218375.00,9281172.00
AK,2000,97508.00,185703.00,40346.00,226049.00,9595628.00
AK,2001,93377.00,172605.00,35103.00,207708.00,8492655.00
AK,2002,97537.00,184048.00,38496.00,222544.00,8684287.00
AK,2003,99121.00,185367.00,37848.00,223215.00,8373590.84
AK,2004,97537.00,184048.00,38496.00,222544.00,8684287.26
AK,2005,99121.00,185367.00,37848.00,223215.00,8373590.84
AK,2006,98084.00,184860.00,38188.00,223048.00,8316493.32
AK,2007,99954.00,186809.00,40892.00,227701.00,8578916.00
AK,2008,96979.00,186411.00,41177.00,227588.00,8294701.00
AK,2009,96979.00,186411.00,41177.00,227588.00,8294701.00
AK,2010,97858.00,198929.00,40628.00,239557.00,8223411.00
AK,2011,101750.00,211655.00,38418.00,250073.00,7990838.00
AK,2012,106653.00,317328.00,35938.00,353266.00,7853270.94
AK,2013,101547.00,243524.00,34876.00,278400.00,7461882.52
AK,2014,107260.00,249453.00,37899.00,287352.00,7618878.00
AK,2015,107131.00,271067.00,39577.00,310644.00,7882213.00
AK,2016,106916.00,320848.00,41891.00,362739.00,8003375.00
AK,2017,108487.00,357004.00,44998.00,402002.00,8540589.00
AK,2018,108921.00,278248.00,74532.00,352780.00,8491593.00
AK,2019,124330.00,399020.00,64755.00,463775.00,11203135.00
AK,2020,90406.00,400176.00,47585.00,447761.00,11114179.00
AK,2021,93559.00,423501.00,59235.00,482736.00,13906071.00
AL,1970,355169.00,345549.00,9620.00,355169.00,1008919.00
AL,1971,335075.00,376961.00,9858.00,386819.00,1039034.00
AL,1972,301228.00,343601.00,11838.00,355439.00,1610085.00
AL,1973,320608.00,365002.00,14573.00,379575.00,1749498.00
AL,1974,332391.00,375433.00,20914.00,396347.00,1852721.00
AL,1975,336132.00,397230.00,17619.00,414849.00,1971521.00
AL,1976,332112.00,393115.00,19239.00,412354.00,1990384.00
AL,1977,336991.00,398085.00,21129.00,419214.00,2043029.00
AL,1978,342831.00,381009.00,20061.00,401070.00,2263764.00
AL,1979,344777.00,381056.00,21501.00,402557.00,2321124.00
AL,1980,297562.00,330329.00,27053.00,357382.00,3463916.00
AL,1981,310328.00,341058.00,30067.00,371125.00,3639676.00
AL,1982,302234.00,331412.00,30158.00,361570.00,3694558.00
AL,1983,288427.00,319487.00,26596.00,346083.00,3830150.00
AL,1984,286198.00,313468.00,28295.00,341763.00,4069397.00
AL,1985,283389.00,307607.00,30036.00,337643.00,4327339.00
AL,1986,280362.00,302646.00,30291.00,332937.00,4449581.00
AL,1987,293436.00,312369.00,33098.00,345467.00,4739128.00
AL,1988,282805.00,300719.00,31248.00,331967.00,4937987.00
AL,1989,280622.00,292504.00,34648.00,327152.00,5737068.00
AL,1990,265106.00,263377.00,35662.00,299039.00,7944709.00
AL,1991,271890.00,254732.00,36999.00,291731.00,5602329.00
AL,1992,274551.00,257262.00,38308.00,295570.00,5748037.00
AL,1993,276897.00,257679.00,40182.00,297861.00,5975832.00
AL,1994,276235.00,255246.00,41728.00,296974.00,6069801.00
AL,1995,274072.00,269103.00,36453.00,305556.00,7045428.00
AL,1996,269097.00,264668.00,36720.00,301388.00,6898816.00
AL,1997,266386.00,262678.00,38360.00,301038.00,6965350.00
AL,1998,273506.00,261843.00,39941.00,301784.00,7092666.00
AL,1999,272525.00,255342.00,41396.00,296738.00,7217391.00
AL,2000,271865.00,263438.00,41567.00,305005.00,7658106.00
AL,2001,278052.00,266755.00,42366.00,309121.00,9120742.00
AL,2002,273638.00,259268.00,43949.00,303217.00,9111160.00
AL,2003,270229.00,255022.00,44202.00,299224.00,9077910.50
AL,2004,273638.00,259268.00,43949.00,303217.00,9111160.00
AL,2005,270229.00,255022.00,44202.00,299224.00,9077910.50
AL,2006,267354.00,255935.00,46285.00,302220.00,9340257.50
AL,2007,259241.00,243739.00,45921.00,289660.00,9200297.00
AL,2008,255923.00,238147.00,45752.00,283899.00,9142414.00
AL,2009,264640.00,242913.00,48270.00,291183.00,9839680.50
AL,2010,264710.00,243626.00,43829.00,287455.00,12337241.00
AL,2011,540098.00,586479.00,39483.00,625962.00,11451574.50
AL,2012,527713.00,570148.00,36973.00,607121.00,11009924.50
AL,2013,530127.00,573139.00,36017.00,609156.00,10885869.00
AL,2014,507403.00,562156.00,34939.00,597095.00,10836731.00
AL,2015,507926.00,563503.00,36373.00,599876.00,11519641.00
AL,2016,565139.00,567703.00,36340.00,604043.00,11836586.00
AL,2017,548829.00,549221.00,38465.00,587686.00,12210093.00
AL,2018,547905.00,542838.00,37106.00,579944.00,11801451.00
AL,2019,535933.00,526677.00,37476.00,564153.00,11845763.00
AL,2020,503144.00,493001.00,37674.00,530675.00,11793800.00
AL,2021,452400.00,601683.00,45397.00,647080.00,16416029.00
AR,1970,283295.00,268251.00,15044.00,283295.00,1310793.00
AR,1971,297101.00,276700.00,20401.00,297101.00,1299784.00
AR,1972,305262.00,283220.00,22042.00,305262.00,1333663.00
AR,1973,326192.00,452669.00,34469.00,487138.00,1773371.00
AR,1974,347015.00,469690.00,38235.00,507925.00,1889915.00
AR,1975,351876.00,471606.00,42434.00,514040.00,1948780.00
AR,1976,355381.00,481223.00,44399.00,525622.00,2562352.00
AR,1977,347966.00,496991.00,43626.00,540617.00,2651024.00
AR,1978,331649.00,492099.00,44116.00,536215.00,3385001.00
AR,1979,348281.00,518142.00,47696.00,565838.00,3710292.00
AR,1980,348336.00,544341.00,42914.00,587255.00,4419670.00
AR,1981,346830.00,560416.00,42799.00,603215.00,4507139.00
AR,1982,348722.00,612849.00,44863.00,657712.00,4956327.00
AR,1983,337345.00,617678.00,39207.00,656885.00,5110085.00
AR,1984,300241.00,494316.00,21678.00,515994.00,5980887.00
AR,1985,295745.00,469968.00,23418.00,493386.00,5937424.00
AR,1986,300257.00,465793.00,24406.00,490199.00,5951523.00
AR,1987,320410.00,486106.00,25855.00,511961.00,5795950.00
AR,1988,294765.00,317329.00,28299.00,345628.00,7753868.00
AR,1989,353803.00,333924.00,24994.00,358918.00,7249915.00
AR,1990,349166.00,326747.00,22419.00,349166.00,7113723.00
AR,1991,298219.00,312515.00,25875.00,338390.00,6823191.00
AR,1992,312555.00,324167.00,27151.00,351318.00,9113047.00
AR,1993,312785.00,324015.00,29309.00,353324.00,7781210.00
AR,1994,313007.00,448897.00,44826.00,493723.00,8774494.00
AR,1995,321860.00,457054.00,58925.00,515979.00,9568967.00
AR,1996,323990.00,490245.00,67825.00,558070.00,10551712.00
AR,1997,319402.00,494314.00,60363.00,554677.00,10898011.00
AR,1998,330689.00,494711.00,63869.00,558580.00,11014366.00
AR,1999,412114.00,442172.00,99915.00,542087.00,11565396.00
AR,2000,395304.00,369614.00,65930.00,435544.00,11710709.00
AR,2001,400555.00,377635.00,71747.00,449382.00,12347019.00
AR,2002,402493.00,379501.00,85062.00,464563.00,12825689.00
AR,2003,386559.00,361702.00,76406.00,438108.00,12153851.00
AR,2004,402493.00,379501.00,85062.00,464563.00,12825689.00
AR,2005,386559.00,361702.00,76406.00,438108.00,12153851.00
AR,2006,378162.00,353567.00,69255.00,422822.00,11558603.00
AR,2007,375737.00,334590.00,86958.00,421548.00,11946536.00
AR,2008,354042.00,311875.00,76823.00,388698.00,11822434.00
AR,2009,380931.00,338617.00,85386.00,424003.00,12693613.00
AR,2010,381521.00,345071.00,89408.00,434479.00,12990082.00
AR,2011,390932.00,384740.00,97203.00,481943.00,14035081.00
AR,2012,385275.00,376462.00,92194.00,468656.00,13586886.00
AR,2013,390554.00,377526.00,97531.00,475057.00,14055950.00
AR,2014,382212.00,382307.00,110172.00,492479.00,14445976.00
AR,2015,326779.00,380399.00,118520.00,498919.00,15437054.50
AR,2016,328542.00,395700.00,125398.00,521098.00,16235592.00
AR,2017,340200.00,396042.00,137543.00,533585.00,16919165.00
AR,2018,326559.00,380102.00,136944.00,517046.00,18765517.00
AR,2019,301240.00,366964.00,146870.00,513834.00,19023910.00
AR,2020,293356.00,360810.00,147108.00,507918.00,18830352.00
AR,2021,343300.00,349098.00,150728.00,499826.00,19123254.00
AZ,1970,169679.00,324904.00,20606.00,345510.00,1462877.00
AZ,1971,177411.00,337528.00,21203.00,358731.00,1501586.00
AZ,1972,155129.00,284609.00,19511.00,304120.00,1314631.00
AZ,1973,146407.00,262548.00,9439.00,271987.00,2058427.00
AZ,1974,167517.00,292407.00,10310.00,302717.00,2381795.00
AZ,1975,176992.00,302670.00,10366.00,313036.00,2575762.00
AZ,1976,182070.00,310240.00,12525.00,322765.00,2704764.00
AZ,1977,183470.00,311505.00,13406.00,324911.00,2163087.00
AZ,1978,188936.00,317754.00,14665.00,332419.00,2840477.00
AZ,1979,197877.00,323075.00,12458.00,335533.00,2543042.00
AZ,1980,198676.00,413000.00,11425.00,424425.00,2893061.00
AZ,1981,198717.00,327253.00,12069.00,339322.00,3577712.00
AZ,1982,187262.00,319228.00,11430.00,330658.00,3569571.00
